Title,Price
Apple iPhone 15 (128 GB) - Black,"₹65,900"
Apple iPhone 14 (128 GB) - Blue,"₹55,990"
Apple iPhone 13 (128GB) - Starlight,"₹45,490"
Apple iPhone 13 (128GB) - Midnight,"₹45,490"
Apple iPhone 13 (128GB) - Pink,"₹45,490"
Apple iPhone 13 (128GB) - Blue,"₹45,490"
Apple iPhone 13 (128GB) - Green,"₹45,490"
Apple iPhone 13 (256GB) - Starlight,"₹54,999"
Apple iPhone 15 (128 GB) - Blue,"₹65,900"
Apple iPhone 13 (256GB) - Midnight,"₹54,999"
Apple iPhone 13 (128GB) - (Product) RED,"₹45,490"
Apple iPhone 14 (128 GB) - Blue,"₹55,990"
Apple iPhone 16 (128 GB) - Ultramarine,"₹77,900"
Apple iPhone 16 (128 GB) - Black,"₹78,400"
Apple iPhone 15 (128 GB) - Black,"₹65,900"
Apple iPhone 16 (128 GB) - White,"₹77,900"
Apple iPhone 15 Plus (128 GB) - Blue,"₹70,900"
Apple iPhone 15 (128 GB) - Green,"₹61,900"
